,num_eps,temp,ep_return,goal
0,1,0.01086,-498.0,True
1,2,0.01778,-244.0,True
2,3,0.03544,-951.0,True
3,4,0.05178,-849.0,True
4,5,0.068,-778.0,True
5,6,0.088,-1083.0,False
6,7,0.10782,-1042.0,True
7,8,0.12134,-624.0,True
8,9,0.14134,-1106.0,False
9,10,0.16134,-1037.0,False
10,11,0.17604,-683.0,True
11,12,0.18766,-524.0,True
12,13,0.20486,-838.0,True
13,14,0.22486,-1086.0,False
14,15,0.2387,-679.0,True
15,16,0.2587,-1087.0,False
16,17,0.272,-606.0,True
17,18,0.27962,-247.0,True
18,19,0.29854,-960.0,True
19,20,0.31138,-577.0,True
20,21,0.3271,-743.0,True
21,22,0.3407,-622.0,True
22,23,0.35642,-707.0,True
23,24,0.37454,-877.0,True
24,25,0.38548,-450.0,True
25,26,0.39746,-550.0,True
26,27,0.41496,-800.0,True
27,28,0.42972,-669.0,True
28,29,0.43968,-437.0,True
29,30,0.44824,-314.0,True
30,31,0.46178,-577.0,True
31,32,0.47454,-536.0,True
32,33,0.49004,-719.0,True
33,34,0.50248,-529.0,True
34,35,0.50902,-181.0,True
35,36,0.51918,-398.0,True
36,37,0.53508,-732.0,True
37,38,0.54842,-587.0,True
38,39,0.56214,-622.0,True
39,40,0.57482,-537.0,True
40,41,0.59098,-766.0,True
41,42,0.60008,-340.0,True
42,43,0.60828,-285.0,True
43,44,0.62072,-568.0,True
44,45,0.62934,-318.0,True
45,46,0.64026,-462.0,True
46,47,0.64712,-225.0,True
47,48,0.6627,-724.0,True
48,49,0.6754,-556.0,True
49,50,0.687,-452.0,True
50,51,0.69712,-402.0,True
51,52,0.7111,-601.0,True
52,53,0.7201,-339.0,True
53,54,0.72864,-309.0,True
54,55,0.74044,-488.0,True
55,56,0.74998,-359.0,True
56,57,0.76622,-794.0,True
57,58,0.77642,-386.0,True
58,59,0.786,-374.0,True
59,60,0.79464,-314.0,True
60,61,0.80208,-259.0,True
61,62,0.81412,-509.0,True
62,63,0.81938,-101.0,True
63,64,0.82638,-202.0,True
64,65,0.8417,-717.0,True
65,66,0.85714,-676.0,True
66,67,0.86948,-559.0,True
67,68,0.8828,-582.0,True
68,69,0.89354,-442.0,True
69,70,0.90532,-505.0,True
70,71,0.91784,-535.0,True
71,72,0.92788,-374.0,True
72,73,0.93996,-506.0,True
73,74,0.9474,-257.0,True
74,75,0.9572,-375.0,True
75,76,0.96766,-411.0,True
76,77,0.97532,-250.0,True
77,78,0.98576,-389.0,True
78,79,0.99138,-135.0,True
79,80,1.0,-399.0,False
