,epsilon,index,action_num_val,action_verbose,td_error,s_value,gamma,reward,probability,q_func_value
0,1.0,1,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-1.0,1.0,"[ 0.     0.     0.     0.    -0.003  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.001  0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
1,0.9996198479391757,2,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-2.0,1.0,"[ 0.     0.     0.     0.    -0.003  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.001  0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
2,0.9992396958783514,3,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1",-2.0,0.0,0.99,-3.0,0.6,"[ 0.     0.     0.     0.    -0.003  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.001  0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
3,0.9988595438175271,4,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-4.0,0.6,"[ 0.     0.     0.     0.    -0.003  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.001  0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
4,0.9984793917567026,5,37,"OSScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-5.0,0.6,"[-0.001999   -0.002997   -0.001999   -0.001999   -0.005997   -0.001
 -0.003998   -0.001999   -0.001      -0.003994   -0.00499001 -0.001
 -0.002997   -0.005997   -0.001      -0.002      -0.001999   -0.001999
 -0.001      -0.001999   -0.001      -0.002997   -0.003      -0.003994
 -0.005994   -0.001999   -0.001      -0.001      -0.001999   -0.002997
 -0.001      -0.01198201 -0.002997   -0.00798801 -0.002997   -0.001
 -0.001      -0.001999   -0.001      -0.00499001 -0.005997   -0.002997
 -0.00798801 -0.001999   -0.003994   -0.003994   -0.00598502 -0.001999
 -0.003994   -0.008991    0.         -0.002       0.         -0.001
  0.         -0.003994   -0.001      -0.00499001 -0.005997   -0.002997
 -0.005994   -0.00598502 -0.003994    0.         -0.002997   -0.003994
 -0.001      -0.003      -0.002997   -0.003998   -0.001      -0.001999  ]"
5,0.9980992396958783,6,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-6.0,0.6,"[ 0.     0.     0.     0.    -0.003  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.001  0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
6,0.997719087635054,7,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-7.0,0.6,"[-0.001999   -0.002997   -0.001999   -0.001999   -0.005997   -0.001
 -0.003998   -0.001999   -0.001      -0.003994   -0.00499001 -0.001
 -0.002997   -0.005997   -0.001      -0.002      -0.001999   -0.001999
 -0.001      -0.001999   -0.001      -0.002997   -0.003      -0.003994
 -0.005994   -0.001999   -0.001      -0.001      -0.001999   -0.002997
 -0.001      -0.01198201 -0.002997   -0.00798801 -0.002997   -0.001
 -0.001      -0.001999   -0.001      -0.00499001 -0.005997   -0.002997
 -0.00798801 -0.001999   -0.003994   -0.003994   -0.00598502 -0.001999
 -0.003994   -0.008991    0.         -0.002       0.         -0.001
  0.         -0.003994   -0.001      -0.00499001 -0.005997   -0.002997
 -0.005994   -0.00598502 -0.003994    0.         -0.002997   -0.003994
 -0.001      -0.003      -0.002997   -0.003998   -0.001      -0.001999  ]"
7,0.9973389355742297,8,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",-1.0,0.0,0.99,-8.0,0.6,"[-0.001999   -0.002997   -0.001999   -0.001999   -0.005997   -0.001
 -0.003998   -0.001999   -0.001      -0.003994   -0.00499001 -0.001
 -0.002997   -0.005997   -0.001      -0.002      -0.001999   -0.001999
 -0.001      -0.001999   -0.001      -0.002997   -0.003      -0.003994
 -0.005994   -0.001999   -0.001      -0.001      -0.001999   -0.002997
 -0.001      -0.01198201 -0.002997   -0.00798801 -0.002997   -0.001
 -0.001      -0.001999   -0.001      -0.00499001 -0.005997   -0.002997
 -0.00798801 -0.001999   -0.003994   -0.003994   -0.00598502 -0.001999
 -0.003994   -0.008991    0.         -0.002       0.         -0.001
  0.         -0.003994   -0.001      -0.00499001 -0.005997   -0.002997
 -0.005994   -0.00598502 -0.003994    0.         -0.002997   -0.003994
 -0.001      -0.003      -0.002997   -0.003998   -0.001      -0.001999  ]"
8,0.9969587835134054,9,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-9.0,0.6,"[-0.001999   -0.002997   -0.001999   -0.001999   -0.005997   -0.001
 -0.003998   -0.001999   -0.001      -0.003994   -0.00499001 -0.001
 -0.002997   -0.005997   -0.001      -0.002      -0.001999   -0.001999
 -0.001      -0.001999   -0.001      -0.002997   -0.003      -0.003994
 -0.005994   -0.001999   -0.001      -0.001      -0.001999   -0.002997
 -0.001      -0.01198201 -0.002997   -0.00798801 -0.002997   -0.001
 -0.001      -0.001999   -0.001      -0.00499001 -0.005997   -0.002997
 -0.00798801 -0.001999   -0.003994   -0.003994   -0.00598502 -0.001999
 -0.003994   -0.008991    0.         -0.002       0.         -0.001
  0.         -0.003994   -0.001      -0.00499001 -0.005997   -0.002997
 -0.005994   -0.00598502 -0.003994    0.         -0.002997   -0.003994
 -0.001      -0.003      -0.002997   -0.003998   -0.001      -0.001999  ]"
9,0.9965786314525811,10,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",-1.0,0.0,0.99,-10.0,0.6,"[-0.001999   -0.002997   -0.001999   -0.001999   -0.005997   -0.001
 -0.003998   -0.001999   -0.001      -0.003994   -0.00499001 -0.001
 -0.002997   -0.005997   -0.001      -0.002      -0.001999   -0.001999
 -0.001      -0.001999   -0.001      -0.002997   -0.003      -0.003994
 -0.005994   -0.001999   -0.001      -0.001      -0.001999   -0.002997
 -0.001      -0.01198201 -0.002997   -0.00798801 -0.002997   -0.001
 -0.001      -0.001999   -0.001      -0.00499001 -0.005997   -0.002997
 -0.00798801 -0.001999   -0.003994   -0.003994   -0.00598502 -0.001999
 -0.003994   -0.008991    0.         -0.002       0.         -0.001
  0.         -0.003994   -0.001      -0.00499001 -0.005997   -0.002997
 -0.005994   -0.00598502 -0.003994    0.         -0.002997   -0.003994
 -0.001      -0.003      -0.002997   -0.003998   -0.001      -0.001999  ]"
