,epsilon,index,action_num_val,action_verbose,td_error,s_value,gamma,reward,probability,target_host,q_func_value
0,1.0,1,59,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=schtask, access=2",-1.0,0.0,0.99,-1,1.0,"1, 0","[ 0.     0.     0.     0.     0.     0.    -0.002  0.     0.     0.
  0.     0.    -0.001  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.    -0.001
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
1,0.9996198479391757,2,23,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=schtask, access=2",-1.0,0.0,0.99,-2,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
2,0.9992396958783514,3,184,"Exploit: target=(5, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-3,1.0,"1, 0","[ 0.     0.     0.     0.     0.     0.    -0.002  0.     0.     0.
  0.     0.    -0.001  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.    -0.001
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.   ]"
3,0.9988595438175271,4,69,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",-1.0,0.0,0.99,-4,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
4,0.9984793917567026,5,153,"PrivilegeEscalation: target=(5, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",-1.0,0.0,0.99,-5,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
5,0.9980992396958783,6,147,"ProcessScan: target=(5, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-6,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
6,0.997719087635054,7,60,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-7,1.0,"5, 1","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
7,0.9973389355742297,8,139,"Exploit: target=(4, 4), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",-2.0,0.0,0.99,-8,0.6,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
8,0.9969587835134054,9,149,"Exploit: target=(5, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=2",-1.0,0.0,0.99,-9,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
9,0.9965786314525811,10,89,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=2",-1.0,0.0,0.99,-10,1.0,"1, 0","[-0.001      -0.001      -0.001      -0.002997   -0.003       0.
  0.         -0.002      -0.003       0.          0.         -0.002997
  0.         -0.001      -0.001      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.          0.          0.          0.          0.          0.
 -0.003998    0.         -0.01198201  0.         -0.001      -0.001
  0.          0.          0.          0.         -0.003       0.
 -0.003998    0.          0.          0.          0.         -0.001
  0.         -0.001      -0.001       0.          0.         -0.001
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.         -0.001       0.          0.         -0.001999
 -0.002       0.          0.         -0.001       0.          0.
  0.          0.          0.          0.          0.          0.
 -0.005994   -0.002      -0.005997   -0.001       0.          0.
  0.          0.         -0.001       0.          0.         -0.001
 -0.003998    0.         -0.003       0.         -0.001999    0.
 -0.001       0.         -0.001       0.         -0.003      -0.001
  0.          0.          0.         -0.001       0.          0.
  0.         -0.001       0.          0.         -0.003       0.
  0.          0.         -0.003      -0.001       0.          0.
  0.          0.          0.          0.          0.         -0.001999
  0.         -0.005994    0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.002      -0.003998    0.          0.         -0.001      -0.001
  0.          0.         -0.001999   -0.001       0.         -0.001
  0.          0.          0.         -0.001      -0.001       0.
 -0.001999    0.         -0.001       0.          0.          0.
 -0.002       0.         -0.003      -0.001       0.         -0.001
 -0.001       0.          0.         -0.001       0.          0.
  0.          0.         -0.003       0.         -0.001       0.
 -0.001       0.          0.          0.         -0.005997   -0.001
  0.          0.          0.          0.          0.         -0.001     ]"
