,episode,results,return,goal
0,1,"(-460.0, 493, True)",-460.0,True
1,2,"(-594.0, 611, True)",-594.0,True
2,3,"(-158.0, 260, True)",-158.0,True
3,4,"(-171.0, 279, True)",-171.0,True
4,5,"(-254.0, 351, True)",-254.0,True
5,6,"(-202.0, 287, True)",-202.0,True
6,7,"(-329.0, 396, True)",-329.0,True
7,8,"(-427.0, 453, True)",-427.0,True
8,9,"(-184.0, 272, True)",-184.0,True
9,10,"(-410.0, 461, True)",-410.0,True
10,11,"(-214.0, 318, True)",-214.0,True
11,12,"(-271.0, 375, True)",-271.0,True
12,13,"(-415.0, 486, True)",-415.0,True
13,14,"(-317.0, 408, True)",-317.0,True
14,15,"(-248.0, 352, True)",-248.0,True
15,16,"(-494.0, 501, True)",-494.0,True
16,17,"(-295.0, 386, True)",-295.0,True
17,18,"(-443.0, 488, True)",-443.0,True
18,19,"(-278.0, 367, True)",-278.0,True
19,20,"(-58.0, 192, True)",-58.0,True
20,21,"(-419.0, 452, True)",-419.0,True
21,22,"(-173.0, 283, True)",-173.0,True
22,23,"(-860.0, 793, True)",-860.0,True
23,24,"(-358.0, 440, True)",-358.0,True
24,25,"(-290.0, 385, True)",-290.0,True
25,26,"(-154.0, 257, True)",-154.0,True
26,27,"(-278.0, 355, True)",-278.0,True
27,28,"(-784.0, 725, True)",-784.0,True
28,29,"(-1211.0, 1000, False)",-1211.0,False
29,30,"(-387.0, 441, True)",-387.0,True
30,31,"(-417.0, 467, True)",-417.0,True
31,32,"(-246.0, 342, True)",-246.0,True
32,33,"(-200.0, 301, True)",-200.0,True
33,34,"(-645.0, 654, True)",-645.0,True
34,35,"(-41.0, 181, True)",-41.0,True
35,36,"(-346.0, 430, True)",-346.0,True
36,37,"(-161.0, 278, True)",-161.0,True
37,38,"(-288.0, 361, True)",-288.0,True
38,39,"(-179.0, 284, True)",-179.0,True
39,40,"(-700.0, 699, True)",-700.0,True
40,41,"(-128.0, 248, True)",-128.0,True
41,42,"(-109.0, 235, True)",-109.0,True
42,43,"(-448.0, 511, True)",-448.0,True
43,44,"(-213.0, 313, True)",-213.0,True
44,45,"(-274.0, 374, True)",-274.0,True
45,46,"(-217.0, 324, True)",-217.0,True
46,47,"(-58.0, 206, True)",-58.0,True
47,48,"(-360.0, 446, True)",-360.0,True
