,action_num_val,action_verbose
0,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
2,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
3,37,"OSScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
4,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
5,24,"Exploit: target=(3, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
6,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
7,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
8,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
9,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
10,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
11,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
12,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
13,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
14,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
15,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
16,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
17,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
18,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
19,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
20,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
21,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
22,38,"SubnetScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
23,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
24,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
25,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
26,71,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
27,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
28,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
29,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
30,61,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
31,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
32,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
33,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
34,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
35,70,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
36,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
37,33,"Exploit: target=(3, 1), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
38,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
39,36,"ServiceScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
40,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
41,54,"ServiceScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
42,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
43,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
44,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
45,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
46,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
47,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
48,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
49,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
50,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
51,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
52,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
53,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
54,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
55,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
56,59,"Exploit: target=(3, 4), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
57,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
58,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
59,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
60,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
61,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
62,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
63,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
64,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
65,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
66,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
67,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
68,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
69,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
70,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
71,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
72,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
73,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
74,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
75,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
76,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
77,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
78,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
79,69,"Exploit: target=(4, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
80,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
