,epsilon,index,action_num_val,action_verbose,td_error,s_value,gamma,reward,probability,q_func_value
0,1.0,1,71,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",-1.0,0.0,0.99,-1.0,1.0,"[-0.001 -0.001 -0.001  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.    -0.001]"
1,0.9996198479391757,2,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-2.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
2,0.9992396958783514,3,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1",-2.0,0.0,0.99,-3.0,1.0,"[-0.001 -0.001 -0.001  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.001  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.    -0.001]"
3,0.9988595438175271,4,38,"SubnetScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-4.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
4,0.9984793917567026,5,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1",-2.0,0.0,0.99,-5.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
5,0.9980992396958783,6,22,"Exploit: target=(3, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-6.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
6,0.997719087635054,7,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-7.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
7,0.9973389355742297,8,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-8.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
8,0.9969587835134054,9,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-9.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
9,0.9965786314525811,10,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",-1.0,0.0,0.99,-10.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
10,0.9961984793917567,11,32,"Exploit: target=(3, 1), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1",-1.0,0.0,0.99,-11.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
11,0.9958183273309323,12,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",-1.0,0.0,0.99,-12.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
12,0.995438175270108,13,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1",-1.997999999905005,0.0,0.99,-13.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
13,0.9950580232092837,14,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER",-0.9989999999525025,0.0,0.99,-14.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
14,0.9946778711484594,15,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-15.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
15,0.9942977190876351,16,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-16.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
16,0.9939175670268108,17,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-17.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
17,0.9935374149659864,18,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",-1.0,0.0,0.99,-18.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
18,0.993157262905162,19,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-19.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
19,0.9927771108443377,20,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",-3.0,0.0,0.99,-20.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
20,0.9923969587835134,21,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-21.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
21,0.9920168067226891,22,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER",-1.0,0.0,0.99,-22.0,1.0,"[-0.001    -0.001    -0.001999 -0.001    -0.003    -0.001    -0.003998
 -0.001    -0.001    -0.002997 -0.001    -0.002997 -0.001    -0.003
 -0.001    -0.003998 -0.001    -0.001    -0.002997 -0.001    -0.001
 -0.001    -0.008991  0.       -0.002    -0.001999  0.        0.
 -0.001     0.       -0.001     0.       -0.002997 -0.002     0.
 -0.001     0.        0.       -0.001999 -0.001999 -0.003    -0.001999
 -0.003998  0.        0.        0.        0.       -0.002997 -0.001
 -0.003     0.       -0.002     0.       -0.001     0.       -0.001999
 -0.001    -0.001     0.        0.       -0.002     0.        0.
 -0.001999 -0.001    -0.001    -0.001     0.        0.       -0.002
 -0.001     0.      ]"
