Steps,Action,Change,Network
1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
2,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
3,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
4,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
5,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
6,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
7,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
8,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
9,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
10,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
11,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
12,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
13,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
14,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
15,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
16,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
17,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
18,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
19,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
20,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
21,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
22,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
23,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
24,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
25,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
26,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
27,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
28,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
29,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
30,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
31,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
32,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
33,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
34,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
35,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
36,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
37,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
