Reward,Steps,Network,Change
153.0,47,tiny.yaml,original
117.0,83,tiny.yaml,original
153.0,47,tiny.yaml,original
117.0,83,tiny.yaml,original
153.0,47,tiny.yaml,original
253.0,47,tiny.yaml,new sensitive host
253.0,47,tiny.yaml,new sensitive host
253.0,47,tiny.yaml,new sensitive host
235.0,65,tiny.yaml,new sensitive host
253.0,47,tiny.yaml,new sensitive host
11.0,89,tiny.yaml,removed sensitive host
47.0,53,tiny.yaml,removed sensitive host
47.0,53,tiny.yaml,removed sensitive host
29.0,71,tiny.yaml,removed sensitive host
47.0,53,tiny.yaml,removed sensitive host
41.0,105,medium-single-site.yaml,original 
41.0,105,medium-single-site.yaml,original 
-159.0,239,medium-single-site.yaml,original
-447.0,431,medium-single-site.yaml,original
-735.0,623,medium-single-site.yaml,original
41.0,173,medium-single-site.yaml,new sensitive host
-535.0,557,medium-single-site.yaml,new sensitive host
-347.0,431,medium-single-site.yaml,new sensitive host
-59.0,239,medium-single-site.yaml,new sensitive host
-535.0,557,medium-single-site.yaml,new sensitive host
-59.0,105,medium-single-site.yaml,removed sensitive host
-59.0,105,medium-single-site.yaml,removed sensitive host
-59.0,105,medium-single-site.yaml,removed sensitive host
-59.0,105,medium-single-site.yaml,removed sensitive host
-59.0,105,medium-single-site.yaml,removed sensitive host
-243.0,332,small-linear.yaml,original
-243.0,332,small-linear.yaml,original
-339.0,404,small-linear.yaml,original
-311.0,383,small-linear.yaml,original
-243.0,332,small-linear.yaml,original
-1133.0,1000,small-linear.yaml,new sensitive host
-1133.0,1000,small-linear.yaml,new sensitive host
-1133.0,1000,small-linear.yaml,new sensitive host
-1133.0,1000,small-linear.yaml,new sensitive host
-1133.0,1000,small-linear.yaml,new sensitive host
-1233.0,1000,small-linear.yaml,removed sensitive host
-1233.0,1000,small-linear.yaml,removed sensitive host
-1233.0,1000,small-linear.yaml,removed sensitive host
-1233.0,1000,small-linear.yaml,removed sensitive host
-1233.0,1000,small-linear.yaml,removed sensitive host
